央视频道,#genre#
CCTV-1综合,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8#http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/5000000010000030810/index.m3u8?channel-id=bestzb&Contentid=5000000010000030810&livemode=1&stbId=004003FF0020925379008422F151665C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=5000000010000030810&owchid=bestzb&owsid=4493204831455166715&AuthInfo=cjcdlBWDTYYoYtO46RRUwsYRcjcWQVqy4ItUwCSE6Ep6GNpZ%2bE47AWi696WsOzmj03B6YdXlnCO%2fv10UuMElRmR3DSSroDBBiXOoLcO5%2b55ijGc06cd3bkZ3LN9pGE%2bm
CCTV-2财经,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3综艺,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-4国际,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-5体育,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8#http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/5922040007130019836/index.m3u8?channel-id=bestzb&Contentid=5922040007130019836&livemode=1&stbId=004003FF0097495663008422F154756C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=5922040007130019836&owchid=bestzb&owsid=4493204831454898328&AuthInfo=JTsQWGUKkYoHA3r5%2bkXSPuQaMGlkWO6F3ymwmvvczdEnJ7d0nBpY4SKNzz%2bDER9RtAmezz%2bxJYyCm2yZLH5njrC0RS2vVaRxLbhsLrwqpWU3PaOTS%2bq7kGToR8VkHaBa
CCTV-6电影,http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/5919402815101985320/index.m3u8?channel-id=bestzb&Contentid=5919402815101985320&livemode=1&stbId=004003FF0095627489008422F157709C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=5919402815101985320&owchid=bestzb&owsid=4493204831454948501&AuthInfo=23lkxlHL7LQLd8R0Px2puYxgueDk8AH4pLB%2b911Vd8fTQLv2EzkFPm5B3N8jYPV%2fm4EEJcMk6wVUf8SCm8eW3k%2f8y%2bOg%2fDib8c6KA998vruZotfjzDf%2bSxqkRvqrFMfA#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV-7军事,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-7国防,http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-8电视,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8#http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/8845820895945979833/index.m3u8?channel-id=bestzb&Contentid=8845820895945979833&livemode=1&stbId=004003FF0011438253008422F158240C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=8845820895945979833&owchid=bestzb&owsid=4493204831455278961&AuthInfo=mCxVXpaN9Nw6BpCmnVXBQFPsjdITPlrhcX%2bV16yXuDdiZHdBrjHQVA36ERTRaTb7C1iXAjEexLeHDtzQCC4oj7sru8oW%2b%2bCohsBfuFdgPBWxd3vyCe%2fzyv5ewLzyAWQh
CCTV-9纪录,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
